Section,Label,Value1,Value2,Value3,,,,,
KPI,Last Payrolled Pendency,2776,,,,,,,
KPI,New Joiners Pendency,6552,,,,,,,
KPI,Total Pendency,9328,,,,,,,
Hiring,TRANSFER,1424,3626,0,,,,,
Hiring,SOURCING,1124,2544,0,,,,,
Hiring,MIGRATION,228,382,0,,,,,
Trend,2011,2,0,0,,,,    ,
Trend,2013,3,0,0,,,,,
Trend,2014,5,0,0,,,,,
Trend,2015,3,0,0,,,,,
Trend,2016,21,0,0,,,,,
Trend,2017,63,0,0,,,,,
Trend,2018,89,0,0,,,,,
Trend,2019,112,0,0,,,,,
Trend,2020,47,0,0,,,,,
Trend,2021,60,0,0,,,,,
Trend,2022,162,0,0,,,,,
Trend,2023,307,0,0,,,,,
Trend,2024,384,0,0,,,,,
Trend,2025,446,0,0,,,,,
Trend,2026 (Till Mar),1072,0,0,,,,,
Trend,2026 (New Joiners),6552,0,0,,,,, 
Client,Sbi Cards And Payment Services Limited,258,713,Ravi Ranjan,,,,,
Client,Bharti Airtel Limited,3,661,VIJAY KUMAR L,,,,,
Client,Hindustan Field Services Pvt Ltd,52,568,DEVENDRA SHARMA,,,,,
Client,Samsung India Electronics Private Limited,349,235,Sujit Mishra/Gaurav Bhasker,,,,,
Client,Amazon Seller Services Private Limited,74,226,Srinivasulu D,,,,,
Client,Aditya Birla Lifestyle Brands Limited,32,261,Cherupally Santhosh Kumar,,,,,
Client,Avenue Supermarts Ltd,90,192,NITIN SHARMA,,,,,
Client,Urban Company Limited,60,161,SANDEEP CHHABRA,,,,,
Client,Instakart Services Private Limited,31,188,RAVINDRA S NAGARALE,,,,,
Client,Adani Transmission Step Eight Limited,,213,Rahul Gupta,,,,,
Client,Honasa Consumer Limited,34,148,ANIL GOSWAMI,,,,,
Client,Poonawalla Fincorp Limited,7,154,vikas khambhal,,,,,
Client,Rallis India Limited,109,45,VIJAY KUMAR L,,,,,
Client,Sansco Technologies Kerala Private Limited,59,85,BHARATH KUMAR,,,,,
Client,Tata Electronics Private Limited,91,48,GOLLA VIJAY KUMAR,,,,,
Client,Tvs Credit,32,106,SATISH KUMAR M,,,,,
Client,Amazon Transportation Services Private Limited,138,,Srinivasulu D,,,,,
Client,Butterfly Gandhimathi Appliances Limited,43,84,SATISH KUMAR M / Arun Prabhakaran,,,,,
Client,Reliance Projects And Property Management Services Limited,34,61,RIYA DUBEY,,,,,
Client,Tata Electronics Systems Solutions Private Limited,35,51,Srinivasulu D,,,,,
COE,Sbi Cards And Payment Services Limited,7.6,8.9,4.5,,,,,
COE,Bharti Airtel Limited,7.4,14.5,4.5,,,,,
COE,Hindustan Field Services Pvt Ltd,14.1,9.2,4.1,,,,,
COE,Samsung India Electronics Private Limited,9.1,10.2,3.3,,,,,
COE,Amazon Seller Services Private Limited,13.1,13.8,5.1,,,,,
COE,Aditya Birla Lifestyle Brands Limited,14.6,12.8,5.1,,,,,
COE,Avenue Supermarts Ltd,10.8,8.4,4.6,,,,,
COE,Urban Company Limited,12.1,9.8,4.4,,,,,
COE,Instakart Services Private Limited,15.2,9.9,5.4,,,,,
COE,Adani Transmission Step Eight Limited,11.0,1.3,5.2,,,,,
COE,Honasa Consumer Limited,11.4,1.3,5.4,,,,,
COE,Poonawalla Fincorp Limited,11.4,1.3,5.4,,,,,
COE,Rallis India Limited,7.9,28.3,3.1,,,,,
COE,Sansco Technologies Kerala Private Limited,11.9,18.4,5.0,,,,,
COE,Tata Electronics Private Limited,14.7,14.0,5.6,,,,,
COE,Tvs Credit,14.1,48.0,3.3,,,,,
COE,Amazon Transportation Services Private Limited,14.1,48.4,3.3,,,,,
COE,Butterfly Gandhimathi Appliances Limited,12.6,18.4,5.3,,,,,
COE,Reliance Projects And Property Management Services Limited,9.3,8.6,4.5,,,,,
COE,Tata Electronics Systems Solutions Private Limited,15.5,11.9,5.3,,,,,
